"POA","State","Population"
"2000","NSW",27411
"2006","NSW",1261
"2007","NSW",8846
"2008","NSW",11712
"2009","NSW",12813
"2010","NSW",27733
"2011","NSW",21199
"2015","NSW",9922
"2016","NSW",13213
"2017","NSW",24694
"2018","NSW",17028
"2019","NSW",10840
"2020","NSW",14771
"2021","NSW",15312
"2022","NSW",12510
"2023","NSW",10719
"2024","NSW",11073
"2025","NSW",7407
"2026","NSW",32489
"2027","NSW",8191
"2028","NSW",4643
"2029","NSW",9957
"2030","NSW",14080
"2031","NSW",34729
"2032","NSW",16692
"2033","NSW",11573
"2034","NSW",20716
"2035","NSW",34496
"2036","NSW",30411
"2037","NSW",16119
"2038","NSW",9452
"2039","NSW",8726
"2040","NSW",22242
"2041","NSW",15687
"2042","NSW",19128
"2043","NSW",8014
"2044","NSW",7840
"2045","NSW",6453
"2046","NSW",26822
"2047","NSW",11950
"2048","NSW",7940
"2049","NSW",11278
"2050","NSW",8967
"2052","NSW",3428
"2060","NSW",13987
"2061","NSW",5943
"2062","NSW",7004
"2063","NSW",6348
"2064","NSW",9525
"2065","NSW",30116
"2066","NSW",31625
"2067","NSW",26404
"2068","NSW",16811
"2069","NSW",14251
"2070","NSW",13504
"2071","NSW",13550
"2072","NSW",7666
"2073","NSW",16354
"2074","NSW",22261
"2075","NSW",20456
"2076","NSW",24653
"2077","NSW",37792
"2079","NSW",7096
"2080","NSW",1704
"2081","NSW",5365
"2082","NSW",5399
"2083","NSW",1514
"2084","NSW",3625
"2085","NSW",11624
"2086","NSW",13417
"2087","NSW",12796
"2088","NSW",28476
"2089","NSW",11914
"2090","NSW",13726
"2092","NSW",7137
"2093","NSW",22872
"2094","NSW",5841
"2095","NSW",15863
"2096","NSW",14656
"2097","NSW",15531
"2099","NSW",39922
"2100","NSW",20911
"2101","NSW",19394
"2102","NSW",7499
"2103","NSW",10674
"2104","NSW",3620
"2105","NSW",1848
"2106","NSW",9303
"2107","NSW",14670
"2108","NSW",1672
"2109","NSW",3090
"2110","NSW",10348
"2111","NSW",14415
"2112","NSW",32852
"2113","NSW",18365
"2114","NSW",24059
"2115","NSW",10738
"2116","NSW",6640
"2117","NSW",21288
"2118","NSW",24340
"2119","NSW",11646
"2120","NSW",20207
"2121","NSW",28215
"2122","NSW",31161
"2123","NSW",0
"2125","NSW",16377
"2126","NSW",18768
"2127","NSW",14535
"2128","NSW",4166
"2129","NSW",4
"2130","NSW",7306
"2131","NSW",23839
"2132","NSW",10613
"2133","NSW",11014
"2134","NSW",16033
"2135","NSW",25252
"2136","NSW",7367
"2137","NSW",26507
"2138","NSW",20022
"2139","NSW",55
"2140","NSW",16161
"2141","NSW",28675
"2142","NSW",26297
"2143","NSW",8920
"2144","NSW",37370
"2145","NSW",79213
"2146","NSW",17467
"2147","NSW",36346
"2148","NSW",63074
"2150","NSW",31500
"2151","NSW",21308
"2152","NSW",11218
"2153","NSW",56556
"2154","NSW",39594
"2155","NSW",55447
"2156","NSW",12941
"2157","NSW",3741
"2158","NSW",8579
"2159","NSW",4976
"2160","NSW",35971
"2161","NSW",31420
"2162","NSW",18622
"2163","NSW",9592
"2164","NSW",19626
"2165","NSW",42438
"2166","NSW",52768
"2167","NSW",9637
"2168","NSW",43451
"2170","NSW",105455
"2171","NSW",34865
"2172","NSW",2779
"2173","NSW",14432
"2174","NSW",2267
"2175","NSW",1837
"2176","NSW",47812
"2177","NSW",15980
"2178","NSW",4234
"2179","NSW",6529
"2190","NSW",25571
"2191","NSW",6317
"2192","NSW",12713
"2193","NSW",15254
"2194","NSW",24538
"2195","NSW",27148
"2196","NSW",31813
"2197","NSW",9067
"2198","NSW",9039
"2199","NSW",18016
"2200","NSW",43688
"2203","NSW",13707
"2204","NSW",26499
"2205","NSW",19447
"2206","NSW",19407
"2207","NSW",28536
"2208","NSW",12450
"2209","NSW",15772
"2210","NSW",30582
"2211","NSW",16845
"2212","NSW",15846
"2213","NSW",21788
"2214","NSW",3952
"2216","NSW",28065
"2217","NSW",26846
"2218","NSW",16425
"2219","NSW",13196
"2220","NSW",32487
"2221","NSW",16482
"2222","NSW",12790
"2223","NSW",20903
"2224","NSW",14209
"2225","NSW",5408
"2226","NSW",12505
"2227","NSW",14622
"2228","NSW",18364
"2229","NSW",28712
"2230","NSW",28842
"2231","NSW",2269
"2232","NSW",32870
"2233","NSW",29497
"2234","NSW",30579
"2250","NSW",67195
"2251","NSW",32708
"2256","NSW",15603
"2257","NSW",29009
"2258","NSW",5167
"2259","NSW",59513
"2260","NSW",23418
"2261","NSW",52751
"2262","NSW",20828
"2263","NSW",24263
"2264","NSW",14233
"2265","NSW",5809
"2267","NSW",2757
"2278","NSW",2571
"2280","NSW",26682
"2281","NSW",14273
"2282","NSW",14775
"2283","NSW",23297
"2284","NSW",10498
"2285","NSW",30715
"2286","NSW",3909
"2287","NSW",36400
"2289","NSW",19118
"2290","NSW",33422
"2291","NSW",13413
"2292","NSW",2465
"2293","NSW",2521
"2294","NSW",1929
"2295","NSW",6925
"2296","NSW",1883
"2297","NSW",1683
"2298","NSW",9499
"2299","NSW",11205
"2300","NSW",10579
"2302","NSW",565
"2303","NSW",9145
"2304","NSW",15177
"2305","NSW",12506
"2306","NSW",3359
"2307","NSW",3905
"2308","NSW",1327
"2311","NSW",861
"2312","NSW",1453
"2314","NSW",203
"2315","NSW",14655
"2316","NSW",5846
"2317","NSW",6241
"2318","NSW",12149
"2319","NSW",6685
"2320","NSW",34559
"2321","NSW",14624
"2322","NSW",18453
"2323","NSW",25736
"2324","NSW",23651
"2325","NSW",28459
"2326","NSW",7333
"2327","NSW",7610
"2328","NSW",2438
"2329","NSW",2111
"2330","NSW",20349
"2331","NSW",318
"2333","NSW",13645
"2334","NSW",2829
"2335","NSW",6156
"2336","NSW",2614
"2337","NSW",7889
"2338","NSW",1432
"2339","NSW",677
"2340","NSW",49070
"2341","NSW",1572
"2342","NSW",465
"2343","NSW",4968
"2344","NSW",756
"2345","NSW",720
"2346","NSW",3147
"2347","NSW",1933
"2350","NSW",25336
"2351","NSW",976
"2352","NSW",2715
"2353","NSW",1124
"2354","NSW",3574
"2355","NSW",664
"2356","NSW",160
"2357","NSW",4159
"2358","NSW",3772
"2359","NSW",736
"2360","NSW",14524
"2361","NSW",909
"2365","NSW",3726
"2369","NSW",923
"2370","NSW",7683
"2371","NSW",1155
"2372","NSW",4742
"2379","NSW",316
"2380","NSW",10390
"2381","NSW",1190
"2382","NSW",1322
"2386","NSW",356
"2387","NSW",199
"2388","NSW",2673
"2390","NSW",8755
"2395","NSW",669
"2396","NSW",856
"2397","NSW",380
"2398","NSW",236
"2399","NSW",596
"2400","NSW",10083
"2401","NSW",321
"2402","NSW",1789
"2403","NSW",720
"2404","NSW",1837
"2405","NSW",512
"2408","NSW",372
"2409","NSW",1027
"2410","NSW",281
"2411","NSW",121
"2415","NSW",390
"2420","NSW",4022
"2421","NSW",1831
"2422","NSW",5334
"2423","NSW",2959
"2424","NSW",429
"2425","NSW",1782
"2426","NSW",719
"2427","NSW",3113
"2428","NSW",24012
"2429","NSW",9715
"2430","NSW",34017
"2431","NSW",5133
"2439","NSW",2941
"2440","NSW",21816
"2441","NSW",4349
"2443","NSW",8892
"2444","NSW",46289
"2445","NSW",6464
"2446","NSW",13330
"2447","NSW",7180
"2448","NSW",9002
"2449","NSW",2188
"2450","NSW",43896
"2452","NSW",15119
"2453","NSW",2771
"2454","NSW",7571
"2455","NSW",3001
"2456","NSW",14749
"2460","NSW",29212
"2462","NSW",2443
"2463","NSW",7541
"2464","NSW",6740
"2465","NSW",292
"2466","NSW",1725
"2469","NSW",4009
"2470","NSW",15225
"2471","NSW",2522
"2472","NSW",1855
"2473","NSW",3092
"2474","NSW",6332
"2475","NSW",386
"2476","NSW",780
"2477","NSW",12207
"2478","NSW",28316
"2479","NSW",4735
"2480","NSW",44596
"2481","NSW",11770
"2482","NSW",6276
"2483","NSW",10604
"2484","NSW",18874
"2485","NSW",14375
"2486","NSW",31594
"2487","NSW",13430
"2488","NSW",3262
"2489","NSW",7353
"2490","NSW",667
"2500","NSW",40512
"2502","NSW",12433
"2505","NSW",5008
"2506","NSW",7608
"2508","NSW",8975
"2515","NSW",11110
"2516","NSW",6108
"2517","NSW",13732
"2518","NSW",19066
"2519","NSW",16931
"2522","NSW",300
"2525","NSW",11564
"2526","NSW",15629
"2527","NSW",21381
"2528","NSW",23773
"2529","NSW",26021
"2530","NSW",32017
"2533","NSW",15623
"2534","NSW",5711
"2535","NSW",7332
"2536","NSW",17720
"2537","NSW",11811
"2538","NSW",2397
"2539","NSW",17978
"2541","NSW",25642
"2545","NSW",1042
"2546","NSW",9118
"2548","NSW",7736
"2549","NSW",3788
"2550","NSW",15857
"2551","NSW",3502
"2555","NSW",229
"2556","NSW",2509
"2557","NSW",8948
"2558","NSW",11115
"2559","NSW",3070
"2560","NSW",76525
"2563","NSW",305
"2564","NSW",13925
"2565","NSW",19985
"2566","NSW",26323
"2567","NSW",38501
"2568","NSW",1146
"2569","NSW",1360
"2570","NSW",40102
"2571","NSW",11851
"2572","NSW",4476
"2573","NSW",5068
"2574","NSW",5740
"2575","NSW",15477
"2576","NSW",13433
"2577","NSW",15416
"2578","NSW",2688
"2579","NSW",4024
"2580","NSW",29221
"2581","NSW",2093
"2582","NSW",12439
"2583","NSW",4384
"2584","NSW",543
"2585","NSW",226
"2586","NSW",2620
"2587","NSW",2917
"2588","NSW",259
"2590","NSW",7091
"2594","NSW",11669
"2619","NSW",9508
"2621","NSW",6056
"2622","NSW",3921
"2623","NSW",613
"2625","NSW",390
"2626","NSW",505
"2627","NSW",4621
"2628","NSW",1910
"2629","NSW",530
"2630","NSW",8689
"2631","NSW",570
"2632","NSW",1833
"2633","NSW",380
"2640","NSW",36343
"2641","NSW",15073
"2642","NSW",4791
"2643","NSW",2771
"2644","NSW",2400
"2645","NSW",400
"2646","NSW",6755
"2647","NSW",2163
"2648","NSW",2375
"2649","NSW",31
"2650","NSW",56973
"2651","NSW",2274
"2652","NSW",4584
"2653","NSW",2532
"2655","NSW",1336
"2656","NSW",1271
"2658","NSW",1435
"2659","NSW",889
"2660","NSW",1616
"2661","NSW",629
"2663","NSW",5183
"2665","NSW",2226
"2666","NSW",5671
"2668","NSW",457
"2669","NSW",1653
"2671","NSW",4111
"2672","NSW",1576
"2675","NSW",1564
"2678","NSW",334
"2680","NSW",23942
"2681","NSW",1732
"2700","NSW",4925
"2701","NSW",2388
"2702","NSW",781
"2703","NSW",981
"2705","NSW",10156
"2706","NSW",1155
"2707","NSW",1344
"2710","NSW",10124
"2711","NSW",3361
"2712","NSW",1358
"2713","NSW",2797
"2714","NSW",2767
"2715","NSW",1478
"2716","NSW",1102
"2717","NSW",1333
"2720","NSW",8010
"2721","NSW",239
"2722","NSW",3207
"2725","NSW",373
"2726","NSW",219
"2727","NSW",352
"2729","NSW",1696
"2730","NSW",1385
"2731","NSW",6407
"2732","NSW",1776
"2733","NSW",541
"2734","NSW",456
"2735","NSW",446
"2736","NSW",375
"2737","NSW",839
"2738","NSW",1661
"2739","NSW",1397
"2745","NSW",29503
"2747","NSW",42421
"2748","NSW",1879
"2749","NSW",16933
"2750","NSW",44806
"2752","NSW",4924
"2753","NSW",17134
"2754","NSW",5695
"2755","NSW",260
"2756","NSW",33934
"2757","NSW",851
"2758","NSW",8718
"2759","NSW",26331
"2760","NSW",33832
"2761","NSW",30954
"2762","NSW",4979
"2763","NSW",30875
"2765","NSW",16112
"2766","NSW",15536
"2767","NSW",22526
"2768","NSW",28760
"2769","NSW",11732
"2770","NSW",61302
"2773","NSW",6009
"2774","NSW",12931
"2775","NSW",1492
"2776","NSW",4026
"2777","NSW",17606
"2778","NSW",2432
"2779","NSW",4976
"2780","NSW",13222
"2782","NSW",6077
"2783","NSW",2612
"2784","NSW",1232
"2785","NSW",4545
"2786","NSW",1290
"2787","NSW",4450
"2790","NSW",15763
"2791","NSW",344
"2792","NSW",389
"2793","NSW",975
"2794","NSW",10426
"2795","NSW",42552
"2797","NSW",422
"2798","NSW",2103
"2799","NSW",4119
"2800","NSW",44994
"2803","NSW",277
"2804","NSW",2667
"2805","NSW",397
"2806","NSW",781
"2807","NSW",429
"2808","NSW",177
"2809","NSW",239
"2810","NSW",3152
"2817","NSW",291
"2818","NSW",864
"2820","NSW",7320
"2821","NSW",4810
"2822","NSW",412
"2823","NSW",1419
"2824","NSW",2187
"2825","NSW",2382
"2826","NSW",197
"2827","NSW",3693
"2828","NSW",832
"2829","NSW",3100
"2830","NSW",40290
"2831","NSW",1920
"2832","NSW",2566
"2833","NSW",654
"2834","NSW",2338
"2835","NSW",4173
"2836","NSW",890
"2838","NSW",243
"2839","NSW",1337
"2840","NSW",2702
"2842","NSW",626
"2843","NSW",1288
"2844","NSW",1441
"2845","NSW",1978
"2846","NSW",277
"2847","NSW",2426
"2848","NSW",1650
"2849","NSW",1547
"2850","NSW",17645
"2852","NSW",3542
"2864","NSW",805
"2865","NSW",868
"2866","NSW",3100
"2867","NSW",599
"2868","NSW",649
"2869","NSW",1442
"2870","NSW",12038
"2871","NSW",9350
"2873","NSW",558
"2874","NSW",423
"2875","NSW",969
"2876","NSW",421
"2877","NSW",3880
"2878","NSW",371
"2879","NSW",636
"2880","NSW",18276
"2898","NSW",381
"3000","VIC",37979
"3002","VIC",4957
"3003","VIC",5516
"3004","VIC",9311
"3005","VIC",523
"3006","VIC",18811
"3008","VIC",10438
"3010","VIC",1595
"3011","VIC",21464
"3012","VIC",26295
"3013","VIC",14967
"3015","VIC",17472
"3016","VIC",15558
"3018","VIC",12685
"3019","VIC",9199
"3020","VIC",44784
"3021","VIC",54190
"3022","VIC",3102
"3023","VIC",63974
"3024","VIC",23852
"3025","VIC",12155
"3026","VIC",72
"3027","VIC",6650
"3028","VIC",29198
"3029","VIC",93946
"3030","VIC",100311
"3031","VIC",18533
"3032","VIC",29449
"3033","VIC",14512
"3034","VIC",11633
"3036","VIC",5921
"3037","VIC",51156
"3038","VIC",27258
"3039","VIC",14252
"3040","VIC",25939
"3041","VIC",12412
"3042","VIC",15762
"3043","VIC",17715
"3044","VIC",27116
"3045","VIC",100
"3046","VIC",34061
"3047","VIC",20901
"3048","VIC",18025
"3049","VIC",9266
"3050","VIC",119
"3051","VIC",14939
"3052","VIC",5697
"3053","VIC",18538
"3054","VIC",8426
"3055","VIC",14160
"3056","VIC",24475
"3057","VIC",11502
"3058","VIC",33783
"3059","VIC",15466
"3060","VIC",14040
"3061","VIC",5059
"3062","VIC",0
"3063","VIC",574
"3064","VIC",75458
"3065","VIC",10447
"3066","VIC",8512
"3067","VIC",8199
"3068","VIC",18665
"3070","VIC",24567
"3071","VIC",18569
"3072","VIC",32848
"3073","VIC",50479
"3074","VIC",20522
"3075","VIC",22594
"3076","VIC",32395
"3078","VIC",11638
"3079","VIC",15990
"3081","VIC",13424
"3082","VIC",29713
"3083","VIC",31526
"3084","VIC",25514
"3085","VIC",13882
"3086","VIC",908
"3087","VIC",9033
"3088","VIC",26890
"3089","VIC",11739
"3090","VIC",2362
"3091","VIC",1585
"3093","VIC",3891
"3094","VIC",8963
"3095","VIC",27770
"3096","VIC",1966
"3097","VIC",1443
"3099","VIC",4877
"3101","VIC",24604
"3102","VIC",6634
"3103","VIC",15343
"3104","VIC",20404
"3105","VIC",10877
"3106","VIC",16620
"3107","VIC",13557
"3108","VIC",20823
"3109","VIC",28357
"3111","VIC",12348
"3113","VIC",8460
"3114","VIC",3823
"3115","VIC",3799
"3116","VIC",9872
"3121","VIC",30502
"3122","VIC",23508
"3123","VIC",14319
"3124","VIC",22091
"3125","VIC",15021
"3126","VIC",8060
"3127","VIC",18445
"3128","VIC",19832
"3129","VIC",17374
"3130","VIC",32171
"3131","VIC",22499
"3132","VIC",16148
"3133","VIC",22119
"3134","VIC",32782
"3135","VIC",19954
"3136","VIC",44373
"3137","VIC",13872
"3138","VIC",21964
"3139","VIC",13722
"3140","VIC",16532
"3141","VIC",25149
"3142","VIC",12912
"3143","VIC",9052
"3144","VIC",10885
"3145","VIC",23294
"3146","VIC",25256
"3147","VIC",14634
"3148","VIC",8643
"3149","VIC",33612
"3150","VIC",60082
"3151","VIC",10269
"3152","VIC",33089
"3153","VIC",20552
"3154","VIC",4418
"3155","VIC",22193
"3156","VIC",37458
"3158","VIC",6648
"3159","VIC",2652
"3160","VIC",9014
"3161","VIC",15271
"3162","VIC",17452
"3163","VIC",32355
"3165","VIC",27636
"3166","VIC",23759
"3167","VIC",9259
"3168","VIC",20200
"3169","VIC",20122
"3170","VIC",19370
"3171","VIC",21713
"3172","VIC",23091
"3173","VIC",25785
"3174","VIC",38465
"3175","VIC",53297
"3177","VIC",11305
"3178","VIC",33669
"3179","VIC",6019
"3180","VIC",7462
"3181","VIC",20267
"3182","VIC",23394
"3183","VIC",18491
"3184","VIC",15547
"3185","VIC",12932
"3186","VIC",23258
"3187","VIC",15997
"3188","VIC",18082
"3189","VIC",5894
"3190","VIC",10457
"3191","VIC",10242
"3192","VIC",22292
"3193","VIC",19505
"3194","VIC",12965
"3195","VIC",35867
"3196","VIC",25329
"3197","VIC",11547
"3198","VIC",16462
"3199","VIC",54299
"3200","VIC",5759
"3201","VIC",20713
"3202","VIC",2907
"3204","VIC",30642
"3205","VIC",10919
"3206","VIC",10366
"3207","VIC",16180
"3211","VIC",1319
"3212","VIC",16650
"3213","VIC",4032
"3214","VIC",23960
"3215","VIC",20615
"3216","VIC",56285
"3217","VIC",6607
"3218","VIC",13438
"3219","VIC",19719
"3220","VIC",16352
"3221","VIC",754
"3222","VIC",14962
"3223","VIC",7401
"3224","VIC",14187
"3225","VIC",4058
"3226","VIC",14161
"3227","VIC",4821
"3228","VIC",17939
"3230","VIC",2548
"3231","VIC",1257
"3232","VIC",1111
"3233","VIC",2029
"3234","VIC",179
"3235","VIC",380
"3236","VIC",230
"3237","VIC",218
"3238","VIC",219
"3239","VIC",423
"3240","VIC",2026
"3241","VIC",2565
"3242","VIC",828
"3243","VIC",357
"3249","VIC",3204
"3250","VIC",12250
"3251","VIC",522
"3254","VIC",307
"3260","VIC",4768
"3264","VIC",2289
"3265","VIC",2614
"3266","VIC",3071
"3267","VIC",245
"3268","VIC",2601
"3269","VIC",729
"3270","VIC",251
"3271","VIC",193
"3272","VIC",1533
"3273","VIC",146
"3274","VIC",242
"3275","VIC",426
"3276","VIC",479
"3277","VIC",1922
"3278","VIC",315
"3279","VIC",291
"3280","VIC",31568
"3281","VIC",1702
"3282","VIC",2363
"3283","VIC",1361
"3284","VIC",3437
"3285","VIC",1210
"3286","VIC",564
"3287","VIC",436
"3289","VIC",757
"3292","VIC",187
"3293","VIC",302
"3294","VIC",954
"3300","VIC",10087
"3301","VIC",1212
"3302","VIC",371
"3303","VIC",338
"3304","VIC",2725
"3305","VIC",12815
"3309","VIC",126
"3310","VIC",272
"3311","VIC",1696
"3312","VIC",1033
"3314","VIC",525
"3315","VIC",1629
"3317","VIC",197
"3318","VIC",1265
"3319","VIC",345
"3321","VIC",1519
"3322","VIC",176
"3323","VIC",88
"3324","VIC",531
"3325","VIC",480
"3328","VIC",1720
"3329","VIC",284
"3330","VIC",222
"3331","VIC",5996
"3332","VIC",1013
"3333","VIC",827
"3334","VIC",566
"3335","VIC",5859
"3337","VIC",36455
"3338","VIC",23419
"3340","VIC",21123
"3341","VIC",1666
"3342","VIC",3440
"3345","VIC",1151
"3350","VIC",59147
"3351","VIC",8169
"3352","VIC",16000
"3355","VIC",13016
"3356","VIC",16322
"3357","VIC",3714
"3360","VIC",765
"3361","VIC",680
"3363","VIC",3476
"3364","VIC",2149
"3370","VIC",1782
"3371","VIC",990
"3373","VIC",2291
"3374","VIC",399
"3375","VIC",206
"3377","VIC",9414
"3378","VIC",149
"3379","VIC",801
"3380","VIC",6033
"3381","VIC",1211
"3384","VIC",547
"3385","VIC",517
"3387","VIC",315
"3388","VIC",562
"3390","VIC",914
"3391","VIC",172
"3392","VIC",581
"3393","VIC",2684
"3395","VIC",361
"3396","VIC",738
"3400","VIC",14541
"3401","VIC",4418
"3407","VIC",422
"3409","VIC",937
"3412","VIC",299
"3413","VIC",220
"3414","VIC",1824
"3415","VIC",40
"3418","VIC",2771
"3419","VIC",806
"3420","VIC",277
"3423","VIC",480
"3424","VIC",769
"3427","VIC",2761
"3428","VIC",680
"3429","VIC",36296
"3430","VIC",322
"3431","VIC",3945
"3432","VIC",196
"3433","VIC",216
"3434","VIC",5070
"3435","VIC",2878
"3437","VIC",10445
"3438","VIC",2386
"3440","VIC",2040
"3441","VIC",1337
"3442","VIC",7463
"3444","VIC",9197
"3446","VIC",1028
"3447","VIC",448
"3448","VIC",878
"3450","VIC",6838
"3451","VIC",5654
"3453","VIC",1725
"3458","VIC",1947
"3460","VIC",2566
"3461","VIC",4150
"3462","VIC",1173
"3463","VIC",2454
"3464","VIC",1118
"3465","VIC",9770
"3467","VIC",1196
"3468","VIC",284
"3469","VIC",278
"3472","VIC",1482
"3475","VIC",348
"3477","VIC",824
"3478","VIC",2457
"3480","VIC",1862
"3482","VIC",169
"3483","VIC",888
"3485","VIC",302
"3487","VIC",96
"3488","VIC",110
"3489","VIC",53
"3490","VIC",1290
"3491","VIC",133
"3494","VIC",661
"3496","VIC",6224
"3498","VIC",5324
"3500","VIC",32738
"3501","VIC",1939
"3505","VIC",4829
"3506","VIC",37
"3507","VIC",157
"3509","VIC",231
"3512","VIC",371
"3515","VIC",1940
"3516","VIC",694
"3517","VIC",1416
"3518","VIC",1307
"3520","VIC",179
"3521","VIC",660
"3522","VIC",334
"3523","VIC",3619
"3525","VIC",1302
"3527","VIC",785
"3529","VIC",120
"3530","VIC",125
"3531","VIC",191
"3533","VIC",779
"3537","VIC",1042
"3540","VIC",286
"3542","VIC",155
"3544","VIC",249
"3546","VIC",403
"3549","VIC",3527
"3550","VIC",40341
"3551","VIC",29564
"3555","VIC",19688
"3556","VIC",13087
"3557","VIC",785
"3558","VIC",916
"3559","VIC",545
"3561","VIC",4434
"3562","VIC",278
"3563","VIC",808
"3564","VIC",15944
"3565","VIC",107
"3566","VIC",556
"3567","VIC",654
"3568","VIC",2948
"3570","VIC",752
"3571","VIC",319
"3572","VIC",151
"3573","VIC",331
"3575","VIC",807
"3576","VIC",72
"3579","VIC",5362
"3580","VIC",990
"3581","VIC",163
"3583","VIC",208
"3584","VIC",1139
"3585","VIC",11205
"3586","VIC",825
"3588","VIC",359
"3589","VIC",347
"3590","VIC",335
"3591","VIC",164
"3594","VIC",529
"3595","VIC",665
"3596","VIC",96
"3597","VIC",413
"3599","VIC",133
"3607","VIC",136
"3608","VIC",2417
"3610","VIC",1714
"3612","VIC",1708
"3614","VIC",882
"3616","VIC",5353
"3617","VIC",163
"3618","VIC",675
"3620","VIC",8241
"3621","VIC",2368
"3622","VIC",456
"3623","VIC",903
"3624","VIC",558
"3629","VIC",9130
"3630","VIC",31266
"3631","VIC",11610
"3633","VIC",604
"3634","VIC",1798
"3635","VIC",536
"3636","VIC",5241
"3637","VIC",593
"3638","VIC",2075
"3639","VIC",524
"3640","VIC",1000
"3641","VIC",1233
"3646","VIC",586
"3647","VIC",40
"3649","VIC",431
"3658","VIC",6221
"3659","VIC",734
"3660","VIC",7577
"3662","VIC",1075
"3663","VIC",180
"3664","VIC",1072
"3665","VIC",357
"3666","VIC",4700
"3669","VIC",1337
"3670","VIC",571
"3672","VIC",10330
"3673","VIC",1729
"3675","VIC",1803
"3677","VIC",18101
"3678","VIC",6357
"3682","VIC",616
"3683","VIC",1760
"3685","VIC",2718
"3687","VIC",1098
"3688","VIC",1237
"3690","VIC",33522
"3694","VIC",92
"3695","VIC",472
"3697","VIC",575
"3698","VIC",862
"3699","VIC",1124
"3700","VIC",1317
"3701","VIC",1075
"3704","VIC",20
"3705","VIC",261
"3708","VIC",58
"3709","VIC",295
"3711","VIC",493
"3712","VIC",353
"3713","VIC",1026
"3714","VIC",3512
"3715","VIC",308
"3717","VIC",2654
"3718","VIC",72
"3719","VIC",371
"3720","VIC",569
"3722","VIC",5020
"3723","VIC",3003
"3725","VIC",631
"3726","VIC",404
"3727","VIC",305
"3728","VIC",635
"3730","VIC",8831
"3732","VIC",595
"3733","VIC",219
"3735","VIC",609
"3737","VIC",4302
"3738","VIC",222
"3739","VIC",215
"3740","VIC",1075
"3741","VIC",3098
"3744","VIC",453
"3746","VIC",385
"3747","VIC",4628
"3749","VIC",1889
"3750","VIC",9060
"3751","VIC",272
"3752","VIC",24057
"3753","VIC",2328
"3754","VIC",37758
"3755","VIC",251
"3756","VIC",11926
"3757","VIC",8955
"3758","VIC",2182
"3759","VIC",1062
"3760","VIC",372
"3761","VIC",1230
"3762","VIC",131
"3763","VIC",1536
"3764","VIC",9161
"3765","VIC",6764
"3766","VIC",1240
"3767","VIC",1253
"3770","VIC",3222
"3775","VIC",3865
"3777","VIC",10753
"3778","VIC",199
"3779","VIC",394
"3781","VIC",4471
"3782","VIC",7824
"3783","VIC",2350
"3785","VIC",77
"3786","VIC",1520
"3787","VIC",1059
"3788","VIC",1742
"3789","VIC",265
"3791","VIC",1440
"3792","VIC",1064
"3793","VIC",3575
"3795","VIC",1249
"3796","VIC",9698
"3797","VIC",3474
"3799","VIC",5800
"3800","VIC",2211
"3802","VIC",24292
"3803","VIC",10856
"3804","VIC",8096
"3805","VIC",56937
"3806","VIC",48521
"3807","VIC",7096
"3808","VIC",3031
"3809","VIC",7212
"3810","VIC",47892
"3812","VIC",2310
"3813","VIC",886
"3814","VIC",2257
"3815","VIC",3020
"3816","VIC",2717
"3818","VIC",14170
"3820","VIC",15952
"3821","VIC",2918
"3822","VIC",983
"3823","VIC",1839
"3824","VIC",5003
"3825","VIC",20282
"3831","VIC",1701
"3832","VIC",249
"3833","VIC",304
"3835","VIC",472
"3840","VIC",16478
"3842","VIC",4784
"3844","VIC",28981
"3847","VIC",2191
"3850","VIC",14782
"3851","VIC",5689
"3852","VIC",92
"3854","VIC",1400
"3856","VIC",992
"3857","VIC",368
"3858","VIC",3026
"3859","VIC",834
"3860","VIC",7171
"3862","VIC",3157
"3864","VIC",218
"3865","VIC",445
"3869","VIC",1624
"3870","VIC",1265
"3871","VIC",2904
"3873","VIC",323
"3874","VIC",558
"3875","VIC",18625
"3878","VIC",1098
"3880","VIC",4037
"3882","VIC",1094
"3885","VIC",1868
"3886","VIC",395
"3887","VIC",342
"3888","VIC",3421
"3889","VIC",179
"3890","VIC",324
"3891","VIC",104
"3892","VIC",1060
"3893","VIC",22
"3895","VIC",194
"3896","VIC",405
"3898","VIC",790
"3900","VIC",151
"3902","VIC",412
"3903","VIC",746
"3904","VIC",1452
"3909","VIC",7901
"3910","VIC",22587
"3911","VIC",3413
"3912","VIC",15154
"3913","VIC",3337
"3915","VIC",9960
